drug_1,drug_2,drug_1_concentration,drug_2_concentration,cell_line,response
Estramustine phosphate sodium,Chlorambucil,0,1e-5,SF-268,103.609
Estramustine phosphate sodium,Chlorambucil,0,1e-5,SF-295,93.735
Estramustine phosphate sodium,Chlorambucil,0,1e-5,SF-539,96.569
Estramustine phosphate sodium,Chlorambucil,0,1e-5,SK-OV-3,103.233
Estramustine phosphate sodium,Chlorambucil,0,1e-5,SNB-19,103.659
Estramustine phosphate sodium,Chlorambucil,0,1e-5,SNB-75,104.354
Estramustine phosphate sodium,Chlorambucil,0,1e-5,SR,26.558
Estramustine phosphate sodium,Chlorambucil,0,1e-5,SW-620,90.894
Estramustine phosphate sodium,Chlorambucil,0,1e-5,U251,95.028
Estramustine phosphate sodium,Chlorambucil,0,1e-5,UACC-257,109.898
Estramustine phosphate sodium,Chlorambucil,0,1e-5,MDA-N,96.732
Estramustine phosphate sodium,Chlorambucil,0,1e-5,T-47D,98.862
Estramustine phosphate sodium,Chlorambucil,0,1e-5,TK-10,99.585
Estramustine phosphate sodium,Chlorambucil,0,1e-5,BT-549,86.843
Estramustine phosphate sodium,Chlorambucil,0,1e-5,M14,113.776
Estramustine phosphate sodium,Chlorambucil,0,1e-5,MDA-MB-435,110.501
Estramustine phosphate sodium,Chlorambucil,0,1e-5,NCI-H522,74.156
Estramustine phosphate sodium,Chlorambucil,0,1e-5,UACC-62,99.26
Estramustine phosphate sodium,Chlorambucil,0,1e-5,SK-MEL-5,108.425
Estramustine phosphate sodium,Chlorambucil,0,1e-5,OVCAR-5,102.459
Estramustine phosphate sodium,Chlorambucil,0,1e-5,PC-3,91.41
Estramustine phosphate sodium,Chlorambucil,0,1e-5,RXF 393,84.116
Estramustine phosphate sodium,Chlorambucil,0,1e-5,SK-MEL-2,105.819
Estramustine phosphate sodium,Chlorambucil,0,1e-5,SN12C,91.306
Estramustine phosphate sodium,Chlorambucil,0,1e-5,UO-31,98.139
Estramustine phosphate sodium,Chlorambucil,0,1e-5,CAKI-1,92.757
Estramustine phosphate sodium,Chlorambucil,0,1e-5,HS 578T,95.491
Estramustine phosphate sodium,Chlorambucil,0,1e-5,MDA-MB-231,81.725
Estramustine phosphate sodium,Chlorambucil,0,1e-5,OVCAR-3,104.666
Estramustine phosphate sodium,Chlorambucil,0,1e-5,SK-MEL-28,100.868
Ifosfamide,Chlorambucil,0,1e-6,786-0,95.56
Ifosfamide,Chlorambucil,0,1e-6,A498,101.219
Ifosfamide,Chlorambucil,0,1e-6,A549/ATCC,106.104
Ifosfamide,Chlorambucil,0,1e-6,ACHN,94.225
Ifosfamide,Chlorambucil,0,1e-6,CCRF-CEM,104.664
Ifosfamide,Chlorambucil,0,1e-6,COLO 205,110.537
Ifosfamide,Chlorambucil,0,1e-6,DU-145,103.434
Ifosfamide,Chlorambucil,0,1e-6,EKVX,104.667
Ifosfamide,Chlorambucil,0,1e-6,HCC-2998,104.92
Ifosfamide,Chlorambucil,0,1e-6,HCT-15,106.332
Ifosfamide,Chlorambucil,0,1e-6,HCT-116,103.239
Ifosfamide,Chlorambucil,0,1e-6,HL-60(TB),89.011
Ifosfamide,Chlorambucil,0,1e-6,HOP-62,107.268
Ifosfamide,Chlorambucil,0,1e-6,HOP-92,95.188
Ifosfamide,Chlorambucil,0,1e-6,HT29,107.057
Ifosfamide,Chlorambucil,0,1e-6,IGROV1,99.528
Ifosfamide,Chlorambucil,0,1e-6,K-562,106.652
Ifosfamide,Chlorambucil,0,1e-6,KM12,78.827
Ifosfamide,Chlorambucil,0,1e-6,LOX IMVI,98.257
Ifosfamide,Chlorambucil,0,1e-6,MALME-3M,112.296
Ifosfamide,Chlorambucil,0,1e-6,MCF7,105.922
Ifosfamide,Chlorambucil,0,1e-6,MOLT-4,106.603
Ifosfamide,Chlorambucil,0,1e-6,NCI/ADR-RES,99.222
Ifosfamide,Chlorambucil,0,1e-6,NCI-H23,103.495
Ifosfamide,Chlorambucil,0,1e-6,NCI-H226,102.724
Ifosfamide,Chlorambucil,0,1e-6,NCI-H322M,110.42
Ifosfamide,Chlorambucil,0,1e-6,NCI-H460,106.305
Ifosfamide,Chlorambucil,0,1e-6,OVCAR-4,101.882
Ifosfamide,Chlorambucil,0,1e-6,OVCAR-8,103.555
Ifosfamide,Chlorambucil,0,1e-6,RPMI-8226,110.966
Ifosfamide,Chlorambucil,0,1e-6,SF-268,111.747
Ifosfamide,Chlorambucil,0,1e-6,SF-295,99.711
Ifosfamide,Chlorambucil,0,1e-6,SF-539,100.429
Ifosfamide,Chlorambucil,0,1e-6,SK-OV-3,95.854
Ifosfamide,Chlorambucil,0,1e-6,SNB-19,104.86
Ifosfamide,Chlorambucil,0,1e-6,SNB-75,110.282
Ifosfamide,Chlorambucil,0,1e-6,SR,94.846
Ifosfamide,Chlorambucil,0,1e-6,SW-620,106.747
Ifosfamide,Chlorambucil,0,1e-6,U251,102.452
Ifosfamide,Chlorambucil,0,1e-6,UACC-257,106.912
Ifosfamide,Chlorambucil,0,1e-6,MDA-N,102.166
Ifosfamide,Chlorambucil,0,1e-6,T-47D,106.072
Ifosfamide,Chlorambucil,0,1e-6,TK-10,106.723
Ifosfamide,Chlorambucil,0,1e-6,BT-549,101.653
Ifosfamide,Chlorambucil,0,1e-6,M14,103.073
Ifosfamide,Chlorambucil,0,1e-6,MDA-MB-435,103.24
Ifosfamide,Chlorambucil,0,1e-6,NCI-H522,98.069
Ifosfamide,Chlorambucil,0,1e-6,UACC-62,99.65
Ifosfamide,Chlorambucil,0,1e-6,SK-MEL-5,108.858
Ifosfamide,Chlorambucil,0,1e-6,OVCAR-5,113.808
Ifosfamide,Chlorambucil,0,1e-6,PC-3,103.942
Ifosfamide,Chlorambucil,0,1e-6,RXF 393,99.191
Ifosfamide,Chlorambucil,0,1e-6,SK-MEL-2,100.953
Ifosfamide,Chlorambucil,0,1e-6,SN12C,106.015
Ifosfamide,Chlorambucil,0,1e-6,UO-31,94.845
Ifosfamide,Chlorambucil,0,1e-6,CAKI-1,94.502
Ifosfamide,Chlorambucil,0,1e-6,HS 578T,99.283
Ifosfamide,Chlorambucil,0,1e-6,MDA-MB-231,105.185
Ifosfamide,Chlorambucil,0,1e-6,OVCAR-3,103.919
Ifosfamide,Chlorambucil,0,1e-6,SK-MEL-28,104.035
Amifostine,Ifosfamide,0,1e-6,786-0,96.03
Amifostine,Ifosfamide,0,1e-6,A498,98.57
Amifostine,Ifosfamide,0,1e-6,A549/ATCC,101.74
Amifostine,Ifosfamide,0,1e-6,ACHN,96.93
Amifostine,Ifosfamide,0,1e-6,CCRF-CEM,97.84
Amifostine,Ifosfamide,0,1e-6,COLO 205,85.56
Amifostine,Ifosfamide,0,1e-6,DU-145,101.87
Amifostine,Ifosfamide,0,1e-6,EKVX,105.73
Amifostine,Ifosfamide,0,1e-6,HCC-2998,96.26
Amifostine,Ifosfamide,0,1e-6,HCT-15,92.66
Amifostine,Ifosfamide,0,1e-6,HCT-116,109.34
Amifostine,Ifosfamide,0,1e-6,HL-60(TB),82.64
Amifostine,Ifosfamide,0,1e-6,HOP-62,111.71
Amifostine,Ifosfamide,0,1e-6,HOP-92,108.02
Amifostine,Ifosfamide,0,1e-6,HT29,100.64
Amifostine,Ifosfamide,0,1e-6,IGROV1,103.03
Amifostine,Ifosfamide,0,1e-6,K-562,79.47
Amifostine,Ifosfamide,0,1e-6,KM12,97.73
Amifostine,Ifosfamide,0,1e-6,LOX IMVI,99.26
Amifostine,Ifosfamide,0,1e-6,MALME-3M,87.62
Amifostine,Ifosfamide,0,1e-6,MCF7,107.14
Amifostine,Ifosfamide,0,1e-6,MOLT-4,86.7
Amifostine,Ifosfamide,0,1e-6,NCI/ADR-RES,98.04
Amifostine,Ifosfamide,0,1e-6,NCI-H23,98.4
Amifostine,Ifosfamide,0,1e-6,NCI-H226,111.03
Amifostine,Ifosfamide,0,1e-6,NCI-H322M,100.3
Amifostine,Ifosfamide,0,1e-6,NCI-H460,100.8
Amifostine,Ifosfamide,0,1e-6,OVCAR-4,109.85
Amifostine,Ifosfamide,0,1e-6,OVCAR-8,102.82
Amifostine,Ifosfamide,0,1e-6,RPMI-8226,83.2
Amifostine,Ifosfamide,0,1e-6,SF-268,95.69
Amifostine,Ifosfamide,0,1e-6,SF-295,86.27
Amifostine,Ifosfamide,0,1e-6,SF-539,116.46
Amifostine,Ifosfamide,0,1e-6,SK-OV-3,102.04
Amifostine,Ifosfamide,0,1e-6,SNB-19,96.66
Amifostine,Ifosfamide,0,1e-6,SNB-75,109.43
Amifostine,Ifosfamide,0,1e-6,SR,93.29
Amifostine,Ifosfamide,0,1e-6,SW-620,96.55
Amifostine,Ifosfamide,0,1e-6,U251,100.43
Amifostine,Ifosfamide,0,1e-6,UACC-257,100.13
Amifostine,Ifosfamide,0,1e-6,MDA-N,99.55
Amifostine,Ifosfamide,0,1e-6,T-47D,109.31
Amifostine,Ifosfamide,0,1e-6,TK-10,107.32
Amifostine,Ifosfamide,0,1e-6,BT-549,81.72
Amifostine,Ifosfamide,0,1e-6,M14,102.96
Amifostine,Ifosfamide,0,1e-6,MDA-MB-435,102.66
Amifostine,Ifosfamide,0,1e-6,NCI-H522,89.32
Amifostine,Ifosfamide,0,1e-6,UACC-62,100
Amifostine,Ifosfamide,0,1e-6,SK-MEL-5,97.96
Amifostine,Ifosfamide,0,1e-6,OVCAR-5,72.6
Amifostine,Ifosfamide,0,1e-6,PC-3,103.76
Amifostine,Ifosfamide,0,1e-6,RXF 393,100.01
Amifostine,Ifosfamide,0,1e-6,SK-MEL-2,104.46
Amifostine,Ifosfamide,0,1e-6,SN12C,102.36
Amifostine,Ifosfamide,0,1e-6,UO-31,88.5
Amifostine,Ifosfamide,0,1e-6,CAKI-1,120.33
Amifostine,Ifosfamide,0,1e-6,HS 578T,105.29
Amifostine,Ifosfamide,0,1e-6,MDA-MB-231,102.44
Amifostine,Ifosfamide,0,1e-6,OVCAR-3,101.62
Amifostine,Ifosfamide,0,1e-6,SK-MEL-28,103.38
Amifostine,Chlorambucil,0,1e-6,786-0,99.156
Amifostine,Chlorambucil,0,1e-6,A498,108.74
Amifostine,Chlorambucil,0,1e-6,A549/ATCC,100.774
Amifostine,Chlorambucil,0,1e-6,ACHN,93.812
Amifostine,Chlorambucil,0,1e-6,CCRF-CEM,108.303
Amifostine,Chlorambucil,0,1e-6,COLO 205,104.22
Amifostine,Chlorambucil,0,1e-6,DU-145,95.155
Amifostine,Chlorambucil,0,1e-6,EKVX,102.087
Amifostine,Chlorambucil,0,1e-6,HCC-2998,105.672
Amifostine,Chlorambucil,0,1e-6,HCT-15,102.584
Amifostine,Chlorambucil,0,1e-6,HCT-116,98.736
Amifostine,Chlorambucil,0,1e-6,HL-60(TB),101.687
Amifostine,Chlorambucil,0,1e-6,HOP-62,101.214
Amifostine,Chlorambucil,0,1e-6,HOP-92,101.643
Amifostine,Chlorambucil,0,1e-6,HT29,101.549
Amifostine,Chlorambucil,0,1e-6,IGROV1,98.197
Amifostine,Chlorambucil,0,1e-6,K-562,105.481
Amifostine,Chlorambucil,0,1e-6,KM12,103.903
Amifostine,Chlorambucil,0,1e-6,LOX IMVI,100.97
Amifostine,Chlorambucil,0,1e-6,MALME-3M,106.019
Amifostine,Chlorambucil,0,1e-6,MCF7,104.361
Amifostine,Chlorambucil,0,1e-6,MOLT-4,102.469
Amifostine,Chlorambucil,0,1e-6,NCI/ADR-RES,108.551
Amifostine,Chlorambucil,0,1e-6,NCI-H23,104.504
Amifostine,Chlorambucil,0,1e-6,NCI-H226,109.678
Amifostine,Chlorambucil,0,1e-6,NCI-H322M,105.55
Amifostine,Chlorambucil,0,1e-6,NCI-H460,98.706
Amifostine,Chlorambucil,0,1e-6,OVCAR-4,99.89
Amifostine,Chlorambucil,0,1e-6,OVCAR-8,105.457
Amifostine,Chlorambucil,0,1e-6,RPMI-8226,113.315
Amifostine,Chlorambucil,0,1e-6,SF-268,104.748
Amifostine,Chlorambucil,0,1e-6,SF-295,93.464
Amifostine,Chlorambucil,0,1e-6,SF-539,101.852
Amifostine,Chlorambucil,0,1e-6,SK-OV-3,100.176
Amifostine,Chlorambucil,0,1e-6,SNB-19,104.994
Amifostine,Chlorambucil,0,1e-6,SNB-75,109.979
Amifostine,Chlorambucil,0,1e-6,SR,92.461
Amifostine,Chlorambucil,0,1e-6,SW-620,102.849
Amifostine,Chlorambucil,0,1e-6,U251,97.422
Amifostine,Chlorambucil,0,1e-6,UACC-257,104.143
Amifostine,Chlorambucil,0,1e-6,MDA-N,99.066
Amifostine,Chlorambucil,0,1e-6,T-47D,106.724
Amifostine,Chlorambucil,0,1e-6,TK-10,103.487
Amifostine,Chlorambucil,0,1e-6,BT-549,100.9
Amifostine,Chlorambucil,0,1e-6,M14,100.422
Amifostine,Chlorambucil,0,1e-6,MDA-MB-435,104.537
Amifostine,Chlorambucil,0,1e-6,NCI-H522,96.817
Amifostine,Chlorambucil,0,1e-6,UACC-62,103.64
Amifostine,Chlorambucil,0,1e-6,SK-MEL-5,114.191
Amifostine,Chlorambucil,0,1e-6,OVCAR-5,100.291
Amifostine,Chlorambucil,0,1e-6,PC-3,101.553
Amifostine,Chlorambucil,0,1e-6,RXF 393,100.112
Amifostine,Chlorambucil,0,1e-6,SK-MEL-2,105.991
Amifostine,Chlorambucil,0,1e-6,SN12C,99.109
Amifostine,Chlorambucil,0,1e-6,UO-31,100.315
Amifostine,Chlorambucil,0,1e-6,CAKI-1,88.322
Amifostine,Chlorambucil,0,1e-6,HS 578T,99.774
Amifostine,Chlorambucil,0,1e-6,MDA-MB-231,104.25
Amifostine,Chlorambucil,0,1e-6,OVCAR-3,96.941
Amifostine,Chlorambucil,0,1e-6,SK-MEL-28,111.783
Hydroxyurea,Chlorambucil,0,1e-6,786-0,101.943
Hydroxyurea,Chlorambucil,0,1e-6,A498,104.39
Hydroxyurea,Chlorambucil,0,1e-6,A549/ATCC,101.086
Hydroxyurea,Chlorambucil,0,1e-6,ACHN,98.868
Hydroxyurea,Chlorambucil,0,1e-6,CCRF-CEM,93.663
Hydroxyurea,Chlorambucil,0,1e-6,COLO 205,102.166
Hydroxyurea,Chlorambucil,0,1e-6,DU-145,102.402
Hydroxyurea,Chlorambucil,0,1e-6,EKVX,99.137
Hydroxyurea,Chlorambucil,0,1e-6,HCC-2998,108.297
Hydroxyurea,Chlorambucil,0,1e-6,HCT-15,108.173
Hydroxyurea,Chlorambucil,0,1e-6,HCT-116,100.076
Hydroxyurea,Chlorambucil,0,1e-6,HL-60(TB),111.792
Hydroxyurea,Chlorambucil,0,1e-6,HOP-62,109.363
Hydroxyurea,Chlorambucil,0,1e-6,HOP-92,97.628
Hydroxyurea,Chlorambucil,0,1e-6,HT29,104.637
Hydroxyurea,Chlorambucil,0,1e-6,IGROV1,96.413
Hydroxyurea,Chlorambucil,0,1e-6,K-562,102.655
Hydroxyurea,Chlorambucil,0,1e-6,KM12,89.709
Hydroxyurea,Chlorambucil,0,1e-6,LOX IMVI,95.166
Hydroxyurea,Chlorambucil,0,1e-6,MALME-3M,102.341
Hydroxyurea,Chlorambucil,0,1e-6,MCF7,101.938
Hydroxyurea,Chlorambucil,0,1e-6,MOLT-4,98.863
Hydroxyurea,Chlorambucil,0,1e-6,NCI/ADR-RES,101.691
Hydroxyurea,Chlorambucil,0,1e-6,NCI-H23,103.946
Hydroxyurea,Chlorambucil,0,1e-6,NCI-H226,101.865
Hydroxyurea,Chlorambucil,0,1e-6,NCI-H322M,108.114
Hydroxyurea,Chlorambucil,0,1e-6,NCI-H460,104.494
Hydroxyurea,Chlorambucil,0,1e-6,OVCAR-4,102.992
Hydroxyurea,Chlorambucil,0,1e-6,OVCAR-8,103.485
Hydroxyurea,Chlorambucil,0,1e-6,RPMI-8226,113.315
Hydroxyurea,Chlorambucil,0,1e-6,SF-268,110.856
Hydroxyurea,Chlorambucil,0,1e-6,SF-295,95.03
Hydroxyurea,Chlorambucil,0,1e-6,SF-539,103.16
Hydroxyurea,Chlorambucil,0,1e-6,SK-OV-3,101.628
Hydroxyurea,Chlorambucil,0,1e-6,SNB-19,104.262
Hydroxyurea,Chlorambucil,0,1e-6,SNB-75,102.788
Hydroxyurea,Chlorambucil,0,1e-6,SR,93.641
Hydroxyurea,Chlorambucil,0,1e-6,SW-620,103.228
Hydroxyurea,Chlorambucil,0,1e-6,U251,97.568
Hydroxyurea,Chlorambucil,0,1e-6,UACC-257,103.392
Hydroxyurea,Chlorambucil,0,1e-6,MDA-N,99.415
Hydroxyurea,Chlorambucil,0,1e-6,T-47D,106.937
Hydroxyurea,Chlorambucil,0,1e-6,TK-10,102.595
Hydroxyurea,Chlorambucil,0,1e-6,BT-549,108.095
Hydroxyurea,Chlorambucil,0,1e-6,M14,101.444
Hydroxyurea,Chlorambucil,0,1e-6,MDA-MB-435,108.189
Hydroxyurea,Chlorambucil,0,1e-6,NCI-H522,92.56
Hydroxyurea,Chlorambucil,0,1e-6,UACC-62,98.572
Hydroxyurea,Chlorambucil,0,1e-6,SK-MEL-5,109.956
Hydroxyurea,Chlorambucil,0,1e-6,OVCAR-5,102.249
Hydroxyurea,Chlorambucil,0,1e-6,PC-3,104.322
Hydroxyurea,Chlorambucil,0,1e-6,RXF 393,104.984
Hydroxyurea,Chlorambucil,0,1e-6,SK-MEL-2,107.94
Hydroxyurea,Chlorambucil,0,1e-6,SN12C,101.376
Hydroxyurea,Chlorambucil,0,1e-6,UO-31,100.733
Hydroxyurea,Chlorambucil,0,1e-6,CAKI-1,85.06
Hydroxyurea,Chlorambucil,0,1e-6,HS 578T,109.779
Hydroxyurea,Chlorambucil,0,1e-6,MDA-MB-231,103.526
Hydroxyurea,Chlorambucil,0,1e-6,OVCAR-3,106.897
Hydroxyurea,Chlorambucil,0,1e-6,SK-MEL-28,108.635
Estramustine phosphate sodium,Ifosfamide,0,1e-6,786-0,99.35
Estramustine phosphate sodium,Ifosfamide,0,1e-6,A498,125.75
Estramustine phosphate sodium,Ifosfamide,0,1e-6,A549/ATCC,100.79
Estramustine phosphate sodium,Ifosfamide,0,1e-6,ACHN,108.81
Estramustine phosphate sodium,Ifosfamide,0,1e-6,CCRF-CEM,94.51
Estramustine phosphate sodium,Ifosfamide,0,1e-6,COLO 205,93.04
Estramustine phosphate sodium,Ifosfamide,0,1e-6,DU-145,92.81
Estramustine phosphate sodium,Ifosfamide,0,1e-6,EKVX,100.27
Estramustine phosphate sodium,Ifosfamide,0,1e-6,HCC-2998,104.82
Estramustine phosphate sodium,Ifosfamide,0,1e-6,HCT-15,106.19
Estramustine phosphate sodium,Ifosfamide,0,1e-6,HCT-116,90
Estramustine phosphate sodium,Ifosfamide,0,1e-6,HL-60(TB),97.63
Estramustine phosphate sodium,Ifosfamide,0,1e-6,HOP-62,83.57
Estramustine phosphate sodium,Ifosfamide,0,1e-6,HOP-92,111.19
Estramustine phosphate sodium,Ifosfamide,0,1e-6,HT29,104.63
Estramustine phosphate sodium,Ifosfamide,0,1e-6,IGROV1,109.43
Estramustine phosphate sodium,Ifosfamide,0,1e-6,K-562,99.81
Estramustine phosphate sodium,Ifosfamide,0,1e-6,KM12,95.96
Estramustine phosphate sodium,Ifosfamide,0,1e-6,LOX IMVI,104.47
Estramustine phosphate sodium,Ifosfamide,0,1e-6,MALME-3M,100.29
Estramustine phosphate sodium,Ifosfamide,0,1e-6,MCF7,100.55
Estramustine phosphate sodium,Ifosfamide,0,1e-6,MOLT-4,86.35
Estramustine phosphate sodium,Ifosfamide,0,1e-6,NCI/ADR-RES,101.58
Estramustine phosphate sodium,Ifosfamide,0,1e-6,NCI-H23,91.59
Estramustine phosphate sodium,Ifosfamide,0,1e-6,NCI-H226,113.81
Estramustine phosphate sodium,Ifosfamide,0,1e-6,NCI-H322M,103.06
Estramustine phosphate sodium,Ifosfamide,0,1e-6,NCI-H460,99.49
Estramustine phosphate sodium,Ifosfamide,0,1e-6,OVCAR-4,99.75
Estramustine phosphate sodium,Ifosfamide,0,1e-6,OVCAR-8,98.21
Estramustine phosphate sodium,Ifosfamide,0,1e-6,RPMI-8226,87.23
Estramustine phosphate sodium,Ifosfamide,0,1e-6,SF-268,102.11
Estramustine phosphate sodium,Ifosfamide,0,1e-6,SF-295,105.63
Estramustine phosphate sodium,Ifosfamide,0,1e-6,SF-539,106.85
Estramustine phosphate sodium,Ifosfamide,0,1e-6,SK-OV-3,103
Estramustine phosphate sodium,Ifosfamide,0,1e-6,SNB-19,98.8
Estramustine phosphate sodium,Ifosfamide,0,1e-6,SNB-75,93.88
Estramustine phosphate sodium,Ifosfamide,0,1e-6,SR,112.72
Estramustine phosphate sodium,Ifosfamide,0,1e-6,SW-620,92.49
Estramustine phosphate sodium,Ifosfamide,0,1e-6,U251,91.86
Estramustine phosphate sodium,Ifosfamide,0,1e-6,UACC-257,97.73
Estramustine phosphate sodium,Ifosfamide,0,1e-6,MDA-N,116.84
Estramustine phosphate sodium,Ifosfamide,0,1e-6,T-47D,103.4
Estramustine phosphate sodium,Ifosfamide,0,1e-6,TK-10,106.84
Estramustine phosphate sodium,Ifosfamide,0,1e-6,BT-549,103.54
Estramustine phosphate sodium,Ifosfamide,0,1e-6,M14,93.05
Estramustine phosphate sodium,Ifosfamide,0,1e-6,MDA-MB-435,106.26
Estramustine phosphate sodium,Ifosfamide,0,1e-6,NCI-H522,104.84
Estramustine phosphate sodium,Ifosfamide,0,1e-6,UACC-62,106.67
Estramustine phosphate sodium,Ifosfamide,0,1e-6,SK-MEL-5,109.12
Estramustine phosphate sodium,Ifosfamide,0,1e-6,OVCAR-5,98.36
Estramustine phosphate sodium,Ifosfamide,0,1e-6,PC-3,112.15
Estramustine phosphate sodium,Ifosfamide,0,1e-6,RXF 393,103.86
Estramustine phosphate sodium,Ifosfamide,0,1e-6,SK-MEL-2,104.74
Estramustine phosphate sodium,Ifosfamide,0,1e-6,SN12C,125.31
Estramustine phosphate sodium,Ifosfamide,0,1e-6,UO-31,108.42
Estramustine phosphate sodium,Ifosfamide,0,1e-6,CAKI-1,104.17
Estramustine phosphate sodium,Ifosfamide,0,1e-6,HS 578T,106.64
Estramustine phosphate sodium,Ifosfamide,0,1e-6,MDA-MB-231,106.61
Estramustine phosphate sodium,Ifosfamide,0,1e-6,OVCAR-3,100.63
Estramustine phosphate sodium,Ifosfamide,0,1e-6,SK-MEL-28,98.7
Estramustine phosphate sodium,Amifostine,0,1e-6,786-0,98.75
Estramustine phosphate sodium,Amifostine,0,1e-6,A498,170.94
Estramustine phosphate sodium,Amifostine,0,1e-6,A549/ATCC,104.17
Estramustine phosphate sodium,Amifostine,0,1e-6,ACHN,110.59
Estramustine phosphate sodium,Amifostine,0,1e-6,CCRF-CEM,102.42
Estramustine phosphate sodium,Amifostine,0,1e-6,COLO 205,80.49
Estramustine phosphate sodium,Amifostine,0,1e-6,DU-145,78.49
Estramustine phosphate sodium,Amifostine,0,1e-6,EKVX,91.53
Estramustine phosphate sodium,Amifostine,0,1e-6,HCC-2998,113.27
Estramustine phosphate sodium,Amifostine,0,1e-6,HCT-15,94.56
Estramustine phosphate sodium,Amifostine,0,1e-6,HCT-116,105.51
Estramustine phosphate sodium,Amifostine,0,1e-6,HL-60(TB),84.64
Estramustine phosphate sodium,Amifostine,0,1e-6,HOP-62,89.6
Estramustine phosphate sodium,Amifostine,0,1e-6,HOP-92,107.3
Estramustine phosphate sodium,Amifostine,0,1e-6,HT29,97.05
Estramustine phosphate sodium,Amifostine,0,1e-6,IGROV1,103.92
Estramustine phosphate sodium,Amifostine,0,1e-6,K-562,99.81
Estramustine phosphate sodium,Amifostine,0,1e-6,KM12,125.65
Estramustine phosphate sodium,Amifostine,0,1e-6,LOX IMVI,93.78
Estramustine phosphate sodium,Amifostine,0,1e-6,MALME-3M,89.7
Estramustine phosphate sodium,Amifostine,0,1e-6,MCF7,99.49
Estramustine phosphate sodium,Amifostine,0,1e-6,MOLT-4,85.39
Estramustine phosphate sodium,Amifostine,0,1e-6,NCI/ADR-RES,95.82
Estramustine phosphate sodium,Amifostine,0,1e-6,NCI-H23,101.35
Estramustine phosphate sodium,Amifostine,0,1e-6,NCI-H226,64.47
Estramustine phosphate sodium,Amifostine,0,1e-6,NCI-H322M,99.59
Estramustine phosphate sodium,Amifostine,0,1e-6,NCI-H460,107.45
Estramustine phosphate sodium,Amifostine,0,1e-6,OVCAR-4,98.48
Estramustine phosphate sodium,Amifostine,0,1e-6,OVCAR-8,97.64
Estramustine phosphate sodium,Amifostine,0,1e-6,RPMI-8226,68.6
Estramustine phosphate sodium,Amifostine,0,1e-6,SF-268,101.12
Estramustine phosphate sodium,Amifostine,0,1e-6,SF-295,103.04
Estramustine phosphate sodium,Amifostine,0,1e-6,SF-539,162.54
Estramustine phosphate sodium,Amifostine,0,1e-6,SK-OV-3,109.86
Estramustine phosphate sodium,Amifostine,0,1e-6,SNB-19,97.15
Estramustine phosphate sodium,Amifostine,0,1e-6,SNB-75,96.72
Estramustine phosphate sodium,Amifostine,0,1e-6,SR,106.37
Estramustine phosphate sodium,Amifostine,0,1e-6,SW-620,92.83
Estramustine phosphate sodium,Amifostine,0,1e-6,U251,120.75
Estramustine phosphate sodium,Amifostine,0,1e-6,UACC-257,95.62
Estramustine phosphate sodium,Amifostine,0,1e-6,MDA-N,106.47
Estramustine phosphate sodium,Amifostine,0,1e-6,T-47D,107.87
Estramustine phosphate sodium,Amifostine,0,1e-6,TK-10,95.35
Estramustine phosphate sodium,Amifostine,0,1e-6,BT-549,82.21
Estramustine phosphate sodium,Amifostine,0,1e-6,M14,86.94
Estramustine phosphate sodium,Amifostine,0,1e-6,MDA-MB-435,76.73
Estramustine phosphate sodium,Amifostine,0,1e-6,NCI-H522,93.45
Estramustine phosphate sodium,Amifostine,0,1e-6,UACC-62,108.26
Estramustine phosphate sodium,Amifostine,0,1e-6,SK-MEL-5,121.26
Estramustine phosphate sodium,Amifostine,0,1e-6,OVCAR-5,103.38
Estramustine phosphate sodium,Amifostine,0,1e-6,PC-3,94.41
Estramustine phosphate sodium,Amifostine,0,1e-6,RXF 393,99.44
Estramustine phosphate sodium,Amifostine,0,1e-6,SK-MEL-2,78.76
Estramustine phosphate sodium,Amifostine,0,1e-6,SN12C,121.99
Estramustine phosphate sodium,Amifostine,0,1e-6,UO-31,114.29
Estramustine phosphate sodium,Amifostine,0,1e-6,CAKI-1,109.36
Estramustine phosphate sodium,Amifostine,0,1e-6,HS 578T,107.26
Estramustine phosphate sodium,Amifostine,0,1e-6,MDA-MB-231,112.14
Estramustine phosphate sodium,Amifostine,0,1e-6,OVCAR-3,147.15
Estramustine phosphate sodium,Amifostine,0,1e-6,SK-MEL-28,103.03
Estramustine phosphate sodium,Chlorambucil,0,1e-6,786-0,101.302
Estramustine phosphate sodium,Chlorambucil,0,1e-6,A498,99.804
Estramustine phosphate sodium,Chlorambucil,0,1e-6,A549/ATCC,108.121
Estramustine phosphate sodium,Chlorambucil,0,1e-6,ACHN,98.666
Estramustine phosphate sodium,Chlorambucil,0,1e-6,CCRF-CEM,112.161
Estramustine phosphate sodium,Chlorambucil,0,1e-6,COLO 205,110.064
Estramustine phosphate sodium,Chlorambucil,0,1e-6,DU-145,104.893
Estramustine phosphate sodium,Chlorambucil,0,1e-6,EKVX,107.009
Estramustine phosphate sodium,Chlorambucil,0,1e-6,HCC-2998,108.89
Estramustine phosphate sodium,Chlorambucil,0,1e-6,HCT-15,103.993
Estramustine phosphate sodium,Chlorambucil,0,1e-6,HCT-116,100.326
Estramustine phosphate sodium,Chlorambucil,0,1e-6,HL-60(TB),107.478
Estramustine phosphate sodium,Chlorambucil,0,1e-6,HOP-62,101.234
Estramustine phosphate sodium,Chlorambucil,0,1e-6,HOP-92,105.615
